NtClose;NtOpenKey;NtQueryValueKey;NtAllocateVirtualMemory;LdrGetProcedureAddress;LdrGetDllHandle;GetSystemTimeAsFileTime;NtEnumerateValueKey;LdrLoadDll;SetUnhandledExceptionFilter;NtCreateFile;RegOpenKeyExW;SetErrorMode;RegCloseKey;NtMapViewOfSection;FindFirstFileExW;RegQueryValueExW;NtFreeVirtualMemory;NtReadFile;NtEnumerateKey;GetFileAttributesW;NtUnmapViewOfSection;LdrUnloadDll;NtCreateSection;NtTerminateProcess
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2877;8;6;59;165;2;57;0;18;0;2223;7;0;7;3;560;5;21;1170;0;1970;3;0;3;2
787;34;14;1;2;2;3;3;3;1;1;5;0;5;1;16;5;0;0;2;1;0;1;1;3
9;1;1;0;0;2;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3
0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
72;47;12;7;9;4;3;0;2;1;16;3;20;2;1;21;14;10;12;0;9;0;1;1;3
319;73;15;29;82;7;103;0;33;0;79;600;12;494;27;10;2302;47;50;0;5;28;7;17;3
16;6;5;2;4;4;2;0;0;1;0;3;3;2;0;6;14;0;0;0;2;0;1;0;3
48;16;10;14;33;2;0;0;17;0;2;1;2;1;1;0;0;3;2;0;0;0;8;1;3
40;15;9;17;33;1;4;0;17;0;15;1;2;1;1;1;0;17;1974;0;76;0;5;1;0
1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
573;5;4;9573;71;1;77478;0;18;1;62;16;0;15;496;25;8;35;2;0;0;495;16;487;0
24;7;6;2;6;4;2;0;1;1;1;3;15;2;1;49;14;0;0;0;2;0;1;1;3
17;2;2;2;1;2;1;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;3;2;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
19;6;5;2;6;4;2;0;1;1;1;3;3;2;1;10;14;0;0;0;2;0;1;1;3
14;4;4;0;2;2;1;0;1;1;2;1;0;1;2;0;1;0;0;0;0;0;1;2;3
1;0;0;9;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
112;81;125;38;74;3;1204;52;24;0;5;31;2;8;3;0;4;13;14;0;1;1;5;3;0
56;19;13;17;35;15;3;0;6;1;2;23;0;21;1;1;22;0;3;0;1;3;3;1;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;7;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2877;7;6;64;165;2;56;0;18;0;2218;7;0;7;3;560;5;30;1166;0;1956;3;0;3;0
797;34;14;1;2;2;3;3;3;1;1;5;0;5;1;16;5;0;0;2;1;0;1;1;3
9;1;1;0;0;2;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3
0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
72;47;12;7;9;4;3;0;2;1;16;3;20;2;1;21;14;10;12;0;9;0;1;1;3
319;73;15;29;82;7;103;0;33;0;79;600;12;494;27;10;2302;47;50;0;5;28;7;17;3
16;6;5;2;4;4;2;0;0;1;0;3;3;2;0;6;14;0;0;0;2;0;1;0;3
48;16;10;14;33;2;0;0;17;0;2;1;2;1;1;0;0;3;2;0;0;0;8;1;3
40;15;9;17;33;1;4;0;17;0;15;1;2;1;1;1;0;17;1974;0;76;0;5;1;0
1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
573;5;4;9573;71;1;77478;0;18;1;62;16;0;15;496;25;8;35;2;0;0;495;16;487;0
24;7;6;2;6;4;2;0;1;1;1;3;15;2;1;49;14;0;0;0;2;0;1;1;3
17;2;2;2;1;2;1;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;3;2;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
19;6;5;2;6;4;2;0;1;1;1;3;3;2;1;10;14;0;0;0;2;0;1;1;3
14;4;4;0;2;2;1;0;1;1;2;1;0;1;2;0;1;0;0;0;0;0;1;2;3
1;0;0;9;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
112;81;125;38;74;3;1204;52;24;0;5;31;2;8;3;0;4;13;14;0;1;1;5;3;0
56;19;13;17;35;15;3;0;6;1;2;23;0;21;1;1;22;0;3;0;1;3;3;1;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;7;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2877;7;6;64;165;2;56;0;18;0;2218;7;0;7;3;560;5;30;1166;0;1956;3;0;3;0
797;34;14;1;2;2;3;3;3;1;1;5;0;5;1;16;5;0;0;2;1;0;1;1;3
9;1;1;0;0;2;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3
0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
72;47;12;7;9;4;3;0;2;1;16;3;20;2;1;21;14;10;12;0;9;0;1;1;3
319;73;15;29;82;7;103;0;33;0;79;600;12;494;27;10;2302;47;50;0;5;28;7;17;3
16;6;5;2;4;4;2;0;0;1;0;3;3;2;0;6;14;0;0;0;2;0;1;0;3
48;16;10;14;33;2;0;0;17;0;2;1;2;1;1;0;0;3;2;0;0;0;8;1;3
40;15;9;17;33;1;4;0;17;0;15;1;2;1;1;1;0;17;1974;0;76;0;5;1;0
1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
573;5;4;9573;71;1;77478;0;18;1;62;16;0;15;496;25;8;35;2;0;0;495;16;487;0
24;7;6;2;6;4;2;0;1;1;1;3;15;2;1;49;14;0;0;0;2;0;1;1;3
17;2;2;2;1;2;1;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;3;2;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
19;6;5;2;6;4;2;0;1;1;1;3;3;2;1;10;14;0;0;0;2;0;1;1;3
14;4;4;0;2;2;1;0;1;1;2;1;0;1;2;0;1;0;0;0;0;0;1;2;3
1;0;0;9;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
112;81;125;38;74;3;1204;52;24;0;5;31;2;8;3;0;4;13;14;0;1;1;5;3;0
56;19;13;17;35;15;3;0;6;1;2;23;0;21;1;1;22;0;3;0;1;3;3;1;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;7;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2877;7;6;64;165;2;56;0;18;0;2218;7;0;7;3;560;5;30;1166;0;1956;3;0;3;0
797;34;14;1;2;2;3;3;3;1;1;5;0;5;1;16;5;0;0;2;1;0;1;1;3
9;1;1;0;0;2;1;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;1;0;3
0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
72;47;12;7;9;4;3;0;2;1;16;3;20;2;1;21;14;10;12;0;9;0;1;1;3
319;73;15;29;82;7;103;0;33;0;79;600;12;494;27;10;2302;47;50;0;5;28;7;17;3
16;6;5;2;4;4;2;0;0;1;0;3;3;2;0;6;14;0;0;0;2;0;1;0;3
48;16;10;14;33;2;0;0;17;0;2;1;2;1;1;0;0;3;2;0;0;0;8;1;3
40;15;9;17;33;1;4;0;17;0;15;1;2;1;1;1;0;17;1974;0;76;0;5;1;0
1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
573;5;4;9573;71;1;77478;0;18;1;62;16;0;15;496;25;8;35;2;0;0;495;16;487;0
24;7;6;2;6;4;2;0;1;1;1;3;15;2;1;49;14;0;0;0;2;0;1;1;3
17;2;2;2;1;2;1;0;1;1;2;0;0;0;2;0;0;0;0;0;0;1;3;2;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
19;6;5;2;6;4;2;0;1;1;1;3;3;2;1;10;14;0;0;0;2;0;1;1;3
14;4;4;0;2;2;1;0;1;1;2;1;0;1;2;0;1;0;0;0;0;0;1;2;3
1;0;0;9;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
112;81;125;38;74;3;1204;52;24;0;5;31;2;8;3;0;4;13;14;0;1;1;5;3;0
56;19;13;17;35;15;3;0;6;1;2;23;0;21;1;1;22;0;3;0;1;3;3;1;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;7;0;2;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;3
2;0;0;0;3;2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
18;1;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;2;0;2
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
